Canada,
Lat,Lon
51.398609,-79.668609
51.452773,-79.586046
51.460127,-79.5471
51.505,-79.533618
51.579164,-79.474164
51.642491,-79.376391
51.6561,-79.353882
51.662345,-79.326955
51.627736,-79.239891
51.577773,-79.275282
51.559436,-79.285282
51.527073,-79.271946
51.518882,-79.2025
51.520409,-79.1793
51.527073,-79.158055
51.537009,-79.132427
51.474845,-79.0225
51.4575,-79.008609
51.353327,-78.963336
51.292218,-78.950291
51.249091,-78.960064
51.223045,-78.954873
51.197773,-78.937209
51.182909,-78.917836
51.163609,-78.844727
51.228882,-78.917455
51.394718,-78.888127
51.4386,-78.832227
51.474991,-78.779173
51.516518,-78.822636
51.548045,-78.822646
51.576382,-78.808609
51.606245,-78.794027
51.634164,-78.859164
51.670545,-78.944155
51.773182,-79.0332
51.798745,-79.002091
51.800691,-78.980964
51.792918,-78.952918
51.796245,-78.912636
51.811382,-78.879991
51.837073,-78.842227
51.861873,-78.838682
51.878882,-78.861118
51.935482,-78.892009
51.9518,-78.856109
51.958882,-78.810546
51.9661,-78.769455
51.976373,-78.742218
52.008045,-78.695827
52.111382,-78.579455
52.180827,-78.537509
52.255827,-78.501109
52.3111,-78.524446
52.367764,-78.516955
52.457491,-78.5071
52.514718,-78.545273
52.533464,-78.570973
52.538745,-78.5907
52.546945,-78.654446
52.551382,-78.684436
52.5684,-78.760846
52.586654,-78.721118
52.5961,-78.691936
52.628873,-78.713336
52.683873,-78.753064
52.7375,-78.790836
52.773882,-78.796955
52.777491,-78.765018
52.785973,-78.727773
52.819445,-78.725555
52.872218,-78.738327
52.861382,-78.794446
52.877773,-78.856109
52.899854,-78.881382
52.908045,-78.8786
52.963609,-78.864718
53,-78.915836
53.068882,-78.923046
53.224709,-78.888064
53.2625,-78.895146
53.392491,-78.946109
53.436964,-79.000127
53.440054,-79.057291
53.472627,-79.091673
53.502491,-79.107355
53.522491,-79.084164
53.532073,-79.045
53.531109,-79.012791
53.519264,-79.037809
53.497064,-79.008046
53.508891,-78.962782
53.562836,-78.918818
53.599718,-78.950564
53.641664,-79.003346
53.691654,-79.089718
53.704718,-79.148409
53.8343,-79.047846
53.839573,-79.020427
53.836036,-78.980973
53.818191,-78.940555
53.821727,-78.909373
53.851391,-78.969727
53.854718,-78.988891
53.856654,-79.011946
53.873045,-79.056655
53.9036,-79.103609
54.000973,-79.069736
54.007145,-79.036382
53.999991,-79.0011
54.006436,-78.967927
54.078609,-79.119446
54.107218,-79.111391
54.181036,-79.050555
54.173882,-79.1825
54.161382,-79.199791
54.158882,-79.238055
54.166936,-79.2764
54.199436,-79.345273
54.282354,-79.425282
54.3686,-79.476673
54.425827,-79.505009
54.455409,-79.488055
54.590127,-79.524936
54.609991,-79.565555
54.623882,-79.618882
54.626518,-79.680827
54.651654,-79.761809
54.702773,-79.631673
54.744709,-79.494155
54.752145,-79.457991
54.772491,-79.337782
54.779991,-79.315827
54.827218,-79.101109
54.844154,-78.972782
54.855691,-78.9511
54.884164,-78.912509
54.914436,-78.838609
54.931109,-78.732773
54.977764,-78.561109
55.030273,-78.373891
55.082218,-78.256118
55.111654,-78.207673
55.125264,-78.182218
55.149991,-78.119446
55.204991,-77.972782
55.243609,-77.8725
55.300827,-77.748609
55.382764,-77.622218
55.486109,-77.416655
55.5918,-77.220273
55.654164,-77.137218
55.679018,-77.11
55.705682,-77.086946
55.754718,-77.068346
55.803045,-77.013064
55.9711,-76.811391
55.999718,-76.744727
56.012773,-76.710691
56.036445,-76.679791
56.066382,-76.654446
56.118045,-76.626664
56.297773,-76.538327
56.318745,-76.531673
56.4061,-76.518891
56.429573,-76.5175
56.464718,-76.519164
56.497909,-76.526527
56.605827,-76.5264
56.710818,-76.506955
56.733882,-76.505009
56.771936,-76.504455
56.785,-76.505573
56.791382,-76.505282
56.811382,-76.507509
56.906654,-76.530836
57.008327,-76.554582
57.044154,-76.554582
57.065545,-76.547218
57.091863,-76.531391
57.207218,-76.564436
57.274436,-76.591382
57.298191,-76.602218
57.404018,-76.6557
57.430545,-76.688046
57.4968,-76.736527
57.637218,-76.808536
57.719154,-76.861936
57.786109,-76.923046
58.022763,-77.147227
58.073882,-77.246655
58.084436,-77.279727
58.091936,-77.317509
58.101936,-77.349446
58.152491,-77.444446
58.178945,-77.445755
58.199854,-77.460836
58.212773,-77.487782
58.248045,-77.571673
58.2786,-77.645846
58.327218,-77.815282
58.334991,-77.851946
58.339991,-77.8839
58.345545,-77.914446
58.355827,-77.947218
58.385273,-78.0241
58.417309,-78.062682
58.462773,-78.130555
58.601663,-78.355564
58.620827,-78.397227
58.621963,-78.423427
58.536663,-78.347782
58.544718,-78.389727
58.606936,-78.556527
58.628882,-78.572991
58.676454,-78.5584
58.679436,-78.514727
58.6986,-78.468473
58.786382,-78.488327
58.840263,-78.512509
58.886936,-78.538609
58.963118,-78.564027
58.964718,-78.396391
58.949263,-78.348964
58.913182,-78.358473
58.912763,-78.338336
58.929163,-78.307773
59.050545,-78.205564
59.108327,-78.127491
59.156654,-78.086673
59.207045,-78.096173
59.260136,-77.955418
59.265273,-77.930282
59.271936,-77.884446
59.273882,-77.851809
59.282354,-77.826664
59.3993,-77.679718
59.426382,-77.790618
59.414709,-77.831391
59.398182,-77.891736
59.411863,-77.909791
59.499927,-77.865627
59.513054,-77.840564
59.524991,-77.798891
59.529018,-77.774318
59.532209,-77.75
59.539718,-77.721391
59.593882,-77.724718
59.632427,-77.7632
59.676382,-77.799027
59.709854,-77.767782
59.707773,-77.731946
59.704709,-77.710555
59.669209,-77.585227
59.647209,-77.529636
59.619709,-77.514182
59.581382,-77.455973
59.571382,-77.426936
59.563609,-77.353609
59.566173,-77.316318
59.576945,-77.344164
59.622254,-77.436164
59.678218,-77.502336
59.7518,-77.537646
59.784163,-77.432773
59.787773,-77.412782
59.788891,-77.389455
59.785273,-77.333618
59.797773,-77.300482
59.897836,-77.373818
59.914709,-77.427491
60.042773,-77.206955
60.064154,-77.070009
60.099163,-76.848055
60.134018,-76.773336
