China,
Lat,Lon
32.0211,120.499154
31.988327,120.702618
31.970136,120.732472
31.8743,120.7897
31.8168,120.768945
31.8325,120.738309
31.852909,120.721091
31.819436,120.719636
31.799164,120.748872
31.754445,120.854009
31.7493,120.879282
31.751945,120.930536
31.754373,120.961791
31.707218,121.084018
31.620691,121.2254
31.578191,121.265263
31.492218,121.325145
31.473882,121.362491
31.418609,121.4511
31.347909,121.601654
31.325418,121.644427
31.308891,121.668054
31.288745,121.694563
31.273745,121.709845
31.232218,121.741363
31.211245,121.756518
31.171382,121.780272
31.126109,121.805254
31.008327,121.869709
30.979854,121.882763
30.927909,121.891654
30.870691,121.8747
30.853054,121.846927
30.851527,121.792763
30.859445,121.760972
30.862773,121.7336
30.863054,121.698318
30.855,121.634427
30.843609,121.559418
30.816391,121.469145
30.800136,121.436782
30.767909,121.393045
30.716936,121.354427
30.702773,121.334436
30.688064,121.275418
30.683327,121.256236
30.6718,121.219982
30.568882,120.991509
30.537918,120.960963
30.503191,120.944145
30.470827,120.932209
30.449091,120.931854
30.418809,120.936854
30.363882,120.875263
30.335554,120.814418
30.328745,120.795536
30.338264,120.751018
30.374854,120.714709
30.387636,120.691227
30.397564,120.649218
30.392982,120.458591
30.371664,120.391872
30.196936,120.149991
30.222218,120.305254
30.284718,120.406154
30.306527,120.454845
30.312218,120.478327
30.310273,120.508191
30.3,120.525827
30.277218,120.538036
30.203882,120.566936
30.165136,120.577763
30.126945,120.599427
30.110482,120.615109
30.0825,120.674991
30.064645,120.791582
30.091109,120.776091
30.129718,120.838882
30.259109,121.072145
30.291109,121.140263
30.301245,121.170536
30.304718,121.199418
30.305418,121.2204
30.304582,121.280809
30.299854,121.301372
30.278609,121.350536
30.247909,121.406372
30.185273,121.4836
30.161664,121.505254
30.121936,121.529427
30.013609,121.612491
29.991245,121.635118
29.963054,121.677754
29.955964,121.728036
29.946945,121.800809
29.920554,121.854427
29.881382,121.939
29.881636,122.026627
29.890064,122.074854
29.900827,122.1045
29.882109,122.119563
29.847382,122.057591
29.837382,122.028263
29.824027,121.984982
29.812773,121.956645
29.764854,121.867127
29.671664,121.793591
29.560827,121.691791
29.55,121.651927
29.516936,121.523036
29.545345,121.502136
29.535827,121.4729
29.511664,121.448318
29.461518,121.428863
29.420827,121.436372
29.416936,121.4397
29.459436,121.467482
29.534436,121.711791
29.524027,121.756527
29.499718,121.749291
29.471245,121.746709
29.477427,121.7988
29.528891,121.848727
29.543609,121.8236
29.544582,121.803445
29.550064,121.738272
29.604164,121.790054
29.635273,121.905818
29.623882,121.938582
29.589164,121.974354
29.420064,121.912063
29.386664,121.8893
29.292082,121.897491
29.270827,121.911927
29.266036,121.944009
29.280973,121.9679
29.255,121.986927
29.195273,121.933591
29.162218,121.847545
29.183882,121.811918
29.204164,121.802691
29.270827,121.810254
29.372354,121.796918
29.363473,121.764018
29.273054,121.769218
29.197291,121.744354
29.183464,121.676791
29.188609,121.657209
29.247773,121.596363
29.291109,121.5611
29.205554,121.504991
29.186382,121.460818
29.1634,121.413518
29.125554,121.424991
29.107773,121.439145
29.095827,121.468318
29.104164,121.4961
29.112773,121.537336
29.114164,121.563872
29.101109,121.627763
29.021945,121.691363
28.948609,121.713318
28.916454,121.682209
28.934991,121.588045
28.950754,121.539418
28.952909,121.502627
28.9359,121.490818
28.909436,121.512209
28.897773,121.534145
28.889509,121.588145
28.831945,121.659572
28.796664,121.659418
28.727982,121.6113
28.698327,121.528872
28.6943,121.501091
28.710273,121.373754
28.717309,121.350254
28.743254,121.301091
28.842145,121.146382
28.806454,121.159009
28.735273,121.290818
28.690273,121.409991
28.682218,121.465409
28.669927,121.484427
28.642218,121.497754
28.614436,121.506663
28.548882,121.522491
28.500273,121.523609
28.392773,121.592754
28.347218,121.641663
28.275554,121.579991
28.302909,121.573954
28.331382,121.525682
28.338327,121.498027
28.338054,121.455272
28.303609,121.408336
28.237218,121.386936
28.188327,121.374418
28.138882,121.341927
28.176936,121.2836
28.204791,121.260345
28.25,121.250263
28.275418,121.248172
28.3575,121.209718
28.379718,121.185536
28.382773,121.165118
28.290836,121.1022
28.241245,121.114845
28.206109,121.103863
28.173882,121.081936
27.992491,120.954154
27.982218,120.935254
27.994436,120.831936
28.039718,120.678309
28.079436,120.590818
28.018609,120.613309
27.988045,120.719145
27.9484,120.839636
27.872291,120.839991
27.846527,120.795263
27.722218,120.6947
27.645345,120.674491
27.616664,120.655254
27.597145,120.620954
27.593191,120.581163
27.557773,120.580272
27.537218,120.586109
27.504436,120.608736
27.495964,120.639709
27.450827,120.665545
27.371454,120.632145
27.389436,120.583327
27.324164,120.549427
27.283336,120.543872
27.229164,120.525545
27.207773,120.507491
27.179054,120.471191
27.202982,120.462418
27.221727,120.451091
27.214164,120.4197
27.2087,120.416363
27.174509,120.422245
27.241382,120.338318
27.2875,120.317482
27.311109,120.310245
27.318609,120.269291
27.297609,120.210872
27.282773,120.189563
27.222809,120.176091
27.220273,120.202545
27.245409,120.2229
27.251945,120.254436
27.229436,120.328872
27.147636,120.4211
27.094718,120.385263
27.099164,120.330554
27.110273,120.277354
27.129164,120.253254
27.061109,120.236363
27.0325,120.235263
26.981936,120.235809
26.916109,120.204163
26.925554,120.137072
26.898054,120.033182
26.84,120.019427
26.818882,120.0336
26.819027,120.058527
26.793891,120.104154
26.644645,120.127963
26.621873,120.096863
26.5993,119.993445
26.556945,119.937191
26.520554,119.886645
26.517773,119.860263
26.527291,119.835682
26.559854,119.832909
26.592982,119.854154
26.621454,119.902691
26.626173,119.9479
26.652218,119.975963
26.788227,120.073309
26.795,119.964709
26.789791,119.922963
26.696945,119.892209
26.669373,119.892591
26.648882,119.866782
26.692082,119.791509
26.796109,119.7879
26.8127,119.687963
26.772064,119.676209
26.740273,119.687482
26.726664,119.708318
26.711245,119.728427
26.6943,119.703745
26.705827,119.685391
26.751109,119.630809
26.774536,119.626727
26.793891,119.618382
26.785554,119.576663
26.756245,119.550263
26.647773,119.533872
26.6175,119.552618
26.573891,119.599718
26.59,119.621091
26.610136,119.665682
26.608054,119.737072
26.572773,119.780272
26.442218,119.8204
26.409164,119.788591
26.407564,119.7661
26.435273,119.734418
26.492773,119.653045
26.473882,119.577472
26.443327,119.565536
26.338609,119.658045
