USA,
Lat,Lon
29.821109,-85.399027
29.791664,-85.396664
29.7411,-85.3857
29.713882,-85.372218
29.686973,-85.347118
29.699991,-85.306591
29.744164,-85.302218
29.815973,-85.307209
29.897909,-85.362909
29.933609,-85.405827
30.033882,-85.546391
30.07,-85.6136
30.104627,-85.629391
30.102354,-85.598691
30.074564,-85.550318
30.060554,-85.521536
30.025827,-85.476955
30.017673,-85.439436
30.041527,-85.393891
30.055409,-85.413191
30.054164,-85.442491
30.146,-85.647382
30.190664,-85.688246
30.246109,-85.663618
30.297218,-85.746946
30.287427,-85.838682
30.247082,-85.845555
30.227636,-85.829727
30.241454,-85.803536
30.240273,-85.764027
30.198827,-85.739
30.162164,-85.722582
30.125827,-85.725555
30.162773,-85.78
30.195545,-85.830291
30.216936,-85.872218
30.232218,-85.9025
30.244718,-85.929991
30.283882,-86.030836
30.303609,-86.085827
30.329436,-86.164718
30.358327,-86.255555
30.3725,-86.3125
30.384436,-86.337364
30.390827,-86.162509
30.379091,-86.104236
30.426109,-86.122773
30.473045,-86.197491
30.495827,-86.26
30.496109,-86.438046
30.47,-86.492909
30.415,-86.598055
30.415,-86.618327
30.417218,-86.664446
30.419164,-86.708618
30.416664,-86.780291
30.399164,-86.926664
30.393327,-86.970836
30.378609,-87.072227
30.373054,-87.098346
30.363882,-87.1261
30.369827,-87.175536
30.394436,-87.115827
30.400827,-87.084864
30.4075,-87.009455
30.417218,-86.986255
30.45,-86.936391
30.470827,-86.953609
30.52,-87.012509
30.526664,-87.101946
30.517773,-87.160836
30.498609,-87.1532
30.472145,-87.156673
30.431664,-87.179718
30.351109,-87.266109
30.345445,-87.302109
30.321382,-87.306655
30.314718,-87.334164
30.290554,-87.453064
30.279291,-87.522564
30.303327,-87.498546
30.306873,-87.4588
30.338327,-87.418055
30.434582,-87.340836
30.456309,-87.355064
30.480945,-87.420391
30.452773,-87.408891
30.420554,-87.422773
30.359718,-87.463336
30.279445,-87.568618
30.251945,-87.655973
30.234991,-87.733609
30.231664,-87.777218
30.225482,-88.021355
30.248327,-87.9525
30.244991,-87.915282
30.237564,-87.873746
30.262918,-87.778191
30.282427,-87.757709
30.303054,-87.763409
30.360827,-87.831682
30.3843,-87.8718
30.409718,-87.908409
30.495273,-87.934155
30.533882,-87.917782
30.569445,-87.909446
30.593891,-87.913055
30.641109,-87.930546
30.670345,-87.949027
30.701109,-88.020282
30.574718,-88.082509
30.512636,-88.100973
30.470273,-88.102218
30.3975,-88.107227
30.367082,-88.111109
30.318954,-88.131455
30.331527,-88.194027
30.359927,-88.192318
30.404227,-88.3534
30.387664,-88.402191
30.356391,-88.405973
30.3175,-88.457927
30.323054,-88.484446
30.348327,-88.559864
30.363609,-88.614436
30.345691,-88.696109
30.346382,-88.7225
30.354164,-88.744718
30.377636,-88.788191
30.413054,-88.832509
30.418327,-88.980836
30.386382,-88.985
30.327082,-89.202355
30.318264,-89.264446
30.310554,-89.3118
30.1843,-89.448255
30.183882,-89.498609
30.186854,-89.522064
30.153264,-89.593127
30.183773,-89.695
30.223327,-89.819736
30.266382,-89.979582
30.301109,-89.987918
30.319164,-90.000827
30.358882,-90.063891
30.365554,-90.089446
30.387773,-90.187627
30.386945,-90.213755
30.376527,-90.236255
30.203473,-90.415
30.178609,-90.427909
30.1518,-90.430546
30.123473,-90.425136
30.097909,-90.412636
30.061664,-90.349727
30.023473,-90.170136
30.022218,-90.131673
30.036664,-90.034027
30.099164,-89.811936
30.142727,-89.722309
30.167145,-89.673536
30.133191,-89.642646
30.058054,-89.719164
30.0443,-89.769518
30.0443,-89.805691
30.032918,-89.827791
30.007082,-89.843746
29.981109,-89.835555
29.945482,-89.817846
29.879027,-89.683609
29.873882,-89.658055
29.8734,-89.625691
29.899582,-89.5893
29.961109,-89.565827
30.074609,-89.476318
30.050827,-89.399446
29.878191,-89.333755
29.7625,-89.404173
29.790273,-89.412218
29.808327,-89.429718
29.821382,-89.448046
29.832291,-89.476391
29.738882,-89.590564
29.666382,-89.662509
29.632982,-89.752718
29.525691,-89.677782
29.462491,-89.519164
29.403045,-89.464173
29.350554,-89.317509
29.334718,-89.255846
29.339718,-89.187209
29.215827,-89.029173
29.196382,-89.009318
29.174164,-89.008755
29.140273,-89.021664
29.110409,-89.042355
29.04,-89.153882
29.096109,-89.249436
29.042218,-89.306946
29.018327,-89.325846
28.9868,-89.338336
28.953609,-89.363055
28.932082,-89.390627
28.926664,-89.405
28.931109,-89.413055
28.974582,-89.3975
28.9893,-89.381246
29.003609,-89.365827
29.0825,-89.301936
29.149645,-89.272018
29.178045,-89.324309
29.153118,-89.329655
29.1218,-89.323755
29.101664,-89.331391
29.086664,-89.355418
29.092082,-89.389582
29.233609,-89.478609
29.251109,-89.6084
29.300827,-89.708346
29.339164,-89.770564
29.360554,-89.750827
29.414854,-89.773336
29.443882,-89.831682
29.486382,-89.985273
29.551391,-90.119155
29.569854,-90.1825
29.544718,-90.203273
29.510827,-90.1911
29.488054,-90.172082
29.465827,-90.124864
29.461382,-90.096664
29.459582,-90.058746
29.425136,-90.026527
29.311945,-90.056946
29.221527,-90.051591
29.183327,-90.065827
29.139027,-90.115964
29.126382,-90.135836
29.091109,-90.209446
29.083609,-90.2375
29.0825,-90.247773
29.092218,-90.235973
29.118464,-90.235691
29.197218,-90.255573
29.259718,-90.272782
29.309164,-90.345
29.3175,-90.393618
